 Autogenerated Input
23.11 9 0.50000000 1.1 
 	 R 	 Energy 
   0.56691784 -0.60180372 
   0.75589045 -0.91414971 
   0.94486307 -1.05515980 
   1.13383568 -1.11628601 
   1.32280829 -1.13618945 
   1.51178091 -1.13414767 
   1.70075352 -1.12056028 
   1.88972613 -1.10115033 
   2.07869875 -1.07919294 
   2.26767136 -1.05674074 
   2.45664397 -1.03518627 
   2.64561659 -1.01546825 
   2.83458920 -0.99814935 
   3.02356181 -0.98347273 
   3.21253443 -0.97142669 
   3.40150704 -0.96181695 
   3.59047965 -0.95433885 
   3.77945227 -0.94864111 
   3.96842488 -0.94437468 
   4.15739749 -0.94122403 
   4.34637011 -0.93892239 
   4.53534272 -0.93725495 
   4.72431533 -0.93605492 

